達成基準,項目,レベル,確認ポイント,単体チェック可否,Reactでの実装例,デザインチェック可否,備考
1.3.4,表示の向き,AA,コンテンツやコンポーネントの表示を、縦向きまたは横向きのいずれかに限定していない,単体可,CSS,可,
1.3.5,入力目的の特定,AA,autocomplete 属性が適切に設定されており、入力目的がプログラムで特定できる,単体可,autocomplete,不可,
1.4.4,テキストのサイズ変更,AA,テキストが200%まで拡大されても、コンテンツや機能が損なわれない,単体可,CSS,可,
1.4.10,リフロー,AA,400%まで拡大（幅を狭く）しても、情報が失われたり、横方向のスクロールが発生したりしない。,単体可,CSS,可,
1.4.13,ホバー又はフォーカスで表示されるコンテンツ,AA,ホバーやフォーカスで出現するコンテンツ（ツールチップ、ポップオーバーなど）は、以下の要件を満たす。1. ポインター操作なしで解除できる、2. ポインターを当ててホバーできる、3. ユーザーが解除するまで非表示にならない。,単体可,onFocus,不可,
2.1.1,キーボード,A,キーボードだけで操作できるか？,単体可,"tabIndex, onKeyDown",不可（動作確認必須）,role属性の項目が対応、radixでも保証
2.1.2,キーボードトラップなし,A,フォーカスが閉じ込められないか？,単体可,"onFocus, onBlur",不可（動作確認必須）,role属性の項目が対応、radixでも保証
2.1.4,文字キーのショートカット,A,単一キーショートカットは無効化/変更可能か？,単体可,onKeyDown ハンドリング,不可（動作確認必須）,ショートカットがなければ不要
2.4.3,フォーカス順序,A,フォーカス移動が論理的か？,単体不可（画面全体で確認）,"tabIndex, React.Fragment順序",可（フォーカス順序の設計確認）,
2.4.7,フォーカスの可視化,AA,フォーカスインジケータが視認可能か？,単体可,":focus-visible, outline",可（デザインでフォーカススタイル確認）,
2.4.11,隠されないフォーカス（最低限）,AA,フォーカス要素が隠れないか？,単体不可（画面全体で確認）,CSS overflow制御,可（実装での挙動確認）,
2.4.13,フォーカスの外観,AAA,フォーカスインジケータは十分な太さ・コントラストか？,単体可,"outline, box-shadow",可（デザインでフォーカス見た目確認）,
2.5.1,ポインタジェスチャ,A,複雑操作が単一操作で代替可能か？,単体可,"onClick, onPointerDown",不可（実装必須）,マウス操作できていれば問題なさそう
2.5.2,ポインタ取消,A,誤操作のキャンセルが可能か？,単体可,"onPointerUp, preventDefault",不可（実装必須）,DownEventの項目が該当
2.5.3,ラベルを含む名前,A,nameに視覚ラベルを含むか？,単体可,"aria-label, aria-labelledby",可（ラベルとnameの対応確認）,あり
2.5.4,モーション起動,A,デバイス動作以外でも操作可能か？,単体不可（環境依存）,DeviceMotion API代替,不可（実装必須）,
2.5.7,ドラッグ操作,AA,ドラッグ以外の代替操作があるか？,単体可,"onDrag, onKeyDown",不可（動作確認必須）,ドラッグ操作がそもそもある？
2.5.8,ターゲットサイズ（最小）,AA,操作対象は24×24px以上か？,単体可,CSS width/height,可（ターゲットサイズの確認）,
3.2.1,フォーカス時,A,フォーカスで予期しない動作が起きないか？,単体可,onFocus,不可（実装必須）,純粋に実装レビュー
3.2.2,入力時,A,入力で意図しない動作が起きないか？,単体可,onChange,不可（実装必須）,純粋に実装レビュー
3.2.4,一貫した識別性,AA,同じコンポーネントは一貫したラベルか？,単体可,コンポーネントprops,可（ラベルの一貫性確認）,
3.3.1,エラーの特定,A,入力エラーが利用者に伝わるか？,単体可,"aria-invalid, role=alert",可（エラーメッセージデザイン確認）,
3.3.2,ラベル又は説明,A,入力欄にラベル/説明があるか？,単体可,"label要素, aria-describedby",可（ラベル/説明の有無確認）,
3.3.3,エラー修正方法の提案,AA,修正方法が提示されているか？,単体可,エラーメッセージ表示,可（エラー修正方法の提示確認）,
3.3.8,アクセシブル認証（最低限）,AA,認証が記憶依存になっていないか？,単体不可（システム依存）,代替認証方式,不可（システム依存）,
4.1.2,名前・役割・値,A,コンポーネントがname/role/valueを持つか？,単体可,"role属性, aria-*",不可（実装必須）,あり
4.1.3,状態メッセージ,AA,状態の変化が支援技術に伝わるか？,単体可,"role=alert, aria-live",不可（実装必須）,あり
